True Class,Predicted Class,Count
woman,girl,21
oak_tree,maple_tree,17
maple_tree,oak_tree,15
willow_tree,maple_tree,13
girl,woman,11
rose,tulip,11
baby,boy,10
boy,man,10
girl,baby,10
snake,worm,10
